t0_feature_0,t0_feature_1,t0_feature_2,t0_feature_3,t0_feature_4,t0_feature_5,t0_feature_6,t0_feature_7,t0_feature_8,t0_feature_9,t0_feature_10,t0_feature_11,t0_feature_12,t0_feature_13,t0_feature_14,t0_feature_15,t0_feature_16,t0_feature_17,t0_feature_18,t0_feature_19,t0_feature_20,t0_feature_21,t0_feature_22,t0_feature_23,t0_feature_24,t0_feature_25,t0_feature_26,t1_feature_0,t1_feature_1,t1_feature_2,t1_feature_3,t1_feature_4,t1_feature_5,t1_feature_6,t1_feature_7,t1_feature_8,t1_feature_9,t1_feature_10,t1_feature_11,t1_feature_12,t1_feature_13,t1_feature_14,t1_feature_15,t1_feature_16,t1_feature_17,t1_feature_18,t1_feature_19,t1_feature_20,t1_feature_21,t1_feature_22,t1_feature_23,t1_feature_24,t1_feature_25,t1_feature_26,t2_feature_0,t2_feature_1,t2_feature_2,t2_feature_3,t2_feature_4,t2_feature_5,t2_feature_6,t2_feature_7,t2_feature_8,t2_feature_9,t2_feature_10,t2_feature_11,t2_feature_12,t2_feature_13,t2_feature_14,t2_feature_15,t2_feature_16,t2_feature_17,t2_feature_18,t2_feature_19,t2_feature_20,t2_feature_21,t2_feature_22,t2_feature_23,t2_feature_24,t2_feature_25,t2_feature_26,t3_feature_0,t3_feature_1,t3_feature_2,t3_feature_3,t3_feature_4,t3_feature_5,t3_feature_6,t3_feature_7,t3_feature_8,t3_feature_9,t3_feature_10,t3_feature_11,t3_feature_12,t3_feature_13,t3_feature_14,t3_feature_15,t3_feature_16,t3_feature_17,t3_feature_18,t3_feature_19,t3_feature_20,t3_feature_21,t3_feature_22,t3_feature_23,t3_feature_24,t3_feature_25,t3_feature_26,t4_feature_0,t4_feature_1,t4_feature_2,t4_feature_3,t4_feature_4,t4_feature_5,t4_feature_6,t4_feature_7,t4_feature_8,t4_feature_9,t4_feature_10,t4_feature_11,t4_feature_12,t4_feature_13,t4_feature_14,t4_feature_15,t4_feature_16,t4_feature_17,t4_feature_18,t4_feature_19,t4_feature_20,t4_feature_21,t4_feature_22,t4_feature_23,t4_feature_24,t4_feature_25,t4_feature_26,t5_feature_0,t5_feature_1,t5_feature_2,t5_feature_3,t5_feature_4,t5_feature_5,t5_feature_6,t5_feature_7,t5_feature_8,t5_feature_9,t5_feature_10,t5_feature_11,t5_feature_12,t5_feature_13,t5_feature_14,t5_feature_15,t5_feature_16,t5_feature_17,t5_feature_18,t5_feature_19,t5_feature_20,t5_feature_21,t5_feature_22,t5_feature_23,t5_feature_24,t5_feature_25,t5_feature_26,t6_feature_0,t6_feature_1,t6_feature_2,t6_feature_3,t6_feature_4,t6_feature_5,t6_feature_6,t6_feature_7,t6_feature_8,t6_feature_9,t6_feature_10,t6_feature_11,t6_feature_12,t6_feature_13,t6_feature_14,t6_feature_15,t6_feature_16,t6_feature_17,t6_feature_18,t6_feature_19,t6_feature_20,t6_feature_21,t6_feature_22,t6_feature_23,t6_feature_24,t6_feature_25,t6_feature_26,t7_feature_0,t7_feature_1,t7_feature_2,t7_feature_3,t7_feature_4,t7_feature_5,t7_feature_6,t7_feature_7,t7_feature_8,t7_feature_9,t7_feature_10,t7_feature_11,t7_feature_12,t7_feature_13,t7_feature_14,t7_feature_15,t7_feature_16,t7_feature_17,t7_feature_18,t7_feature_19,t7_feature_20,t7_feature_21,t7_feature_22,t7_feature_23,t7_feature_24,t7_feature_25,t7_feature_26,target_GDP,sample_id,time_length,n_features
18.903334,9.6,4.8707037,82.96829,43.44065,13.953076,12.280781,5.4067407,4.3108616,-18.296452,8.042865,9.103766,9.595498,8.042866,9.556666,3.369899,12.4501,2.4399667,4.1,6.0,22330056.0,0.42879498,2.8067153,7.9,0.0,2013.0,1.0,4.13,9.133333,-2.2213633,38.47923,-27.681847,6.1819687,9.874452,-4.6841264,12.870885,284.09967,10.629351,9.988143,9.701839,10.629352,5.09,5.4588113,13.001567,2.3842,4.1,6.0,17722552.0,0.3286548,2.5729442,7.6,0.0,2013.0,2.0,3.92,10.1,6.09136,-61.013306,-57.23153,5.0035605,13.519923,-39.35307,-3.9330251,277.95374,6.2629232,12.285002,15.114851,6.2629247,8.54,7.118904,13.2989,2.7642,4.04,6.0,18190130.0,0.34263125,3.59102,7.9,0.0,2013.0,3.0,7.4666667,10.0,7.460061,-131.05603,-38.07758,8.980957,13.196985,-87.43495,-22.488232,1528.9176,8.3601885,14.997671,18.128796,8.360189,7.06,6.317906,13.547167,2.9075,4.05,6.0,28702656.0,0.53299457,3.410764,7.7,0.0,2013.0,4.0,-4.7433333,8.7,-8.635409,-24.056782,-86.63486,-1.7961428,4.3504553,-89.99322,-61.00989,710.35876,11.735101,15.325852,16.966599,11.7351,2.7566667,5.4141583,12.0325,2.274,4.08,6.0,22994344.0,0.43523628,3.457568,7.5,0.0,2014.0,1.0,5.0233335,8.9,-3.2019646,222.05508,76.89574,8.046476,3.1052759,-170.52791,-42.228718,449.67474,8.292734,16.989576,20.905598,8.292736,1.4833333,-1.067312,12.271433,2.2049334,4.08,6.0,15732516.0,0.32878008,2.518045,7.6,0.0,2014.0,2.0,13.01,7.9666667,12.372048,75.73436,140.90541,10.103935,3.3604708,-78.10485,-59.714344,-36.2294,2.2918918,12.298028,16.638468,2.291892,0.9533333,-0.052267253,11.8969,1.9678667,4.07,6.0,21158662.0,0.38913068,2.4709277,7.2,0.0,2014.0,3.0,8.65,7.6,34.248867,404.6622,139.56728,6.30392,-0.22721866,124.6765,-62.123764,-96.54374,-11.441908,7.696505,15.978094,-11.4417715,-1.6566666,5.4578238,11.710234,1.5153333,4.09,5.733333,25539418.0,0.554631,3.6467502,7.3,0.0,2014.0,4.0,7.1,0,8,27
4.13,9.133333,-2.2213633,38.47923,-27.681847,6.1819687,9.874452,-4.6841264,12.870885,284.09967,10.629351,9.988143,9.701839,10.629352,5.09,5.4588113,13.001567,2.3842,4.1,6.0,17722552.0,0.3286548,2.5729442,7.6,0.0,2013.0,2.0,3.92,10.1,6.09136,-61.013306,-57.23153,5.0035605,13.519923,-39.35307,-3.9330251,277.95374,6.2629232,12.285002,15.114851,6.2629247,8.54,7.118904,13.2989,2.7642,4.04,6.0,18190130.0,0.34263125,3.59102,7.9,0.0,2013.0,3.0,7.4666667,10.0,7.460061,-131.05603,-38.07758,8.980957,13.196985,-87.43495,-22.488232,1528.9176,8.3601885,14.997671,18.128796,8.360189,7.06,6.317906,13.547167,2.9075,4.05,6.0,28702656.0,0.53299457,3.410764,7.7,0.0,2013.0,4.0,-4.7433333,8.7,-8.635409,-24.056782,-86.63486,-1.7961428,4.3504553,-89.99322,-61.00989,710.35876,11.735101,15.325852,16.966599,11.7351,2.7566667,5.4141583,12.0325,2.274,4.08,6.0,22994344.0,0.43523628,3.457568,7.5,0.0,2014.0,1.0,5.0233335,8.9,-3.2019646,222.05508,76.89574,8.046476,3.1052759,-170.52791,-42.228718,449.67474,8.292734,16.989576,20.905598,8.292736,1.4833333,-1.067312,12.271433,2.2049334,4.08,6.0,15732516.0,0.32878008,2.518045,7.6,0.0,2014.0,2.0,13.01,7.9666667,12.372048,75.73436,140.90541,10.103935,3.3604708,-78.10485,-59.714344,-36.2294,2.2918918,12.298028,16.638468,2.291892,0.9533333,-0.052267253,11.8969,1.9678667,4.07,6.0,21158662.0,0.38913068,2.4709277,7.2,0.0,2014.0,3.0,8.65,7.6,34.248867,404.6622,139.56728,6.30392,-0.22721866,124.6765,-62.123764,-96.54374,-11.441908,7.696505,15.978094,-11.4417715,-1.6566666,5.4578238,11.710234,1.5153333,4.09,5.733333,25539418.0,0.554631,3.6467502,7.3,0.0,2014.0,4.0,9.836667,6.266667,77.989006,-71.96104,1272.5491,2.012427,-9.777393,13.699977,-62.960876,-88.155304,-22.457071,1.6004044,12.1014805,-22.45707,-17.603333,7.9591727,10.47935,1.1902333,4.05,5.516667,27062572.0,0.4996885,2.680761,7.1,0.0,2015.0,1.0,7.1,1,8,27
3.92,10.1,6.09136,-61.013306,-57.23153,5.0035605,13.519923,-39.35307,-3.9330251,277.95374,6.2629232,12.285002,15.114851,6.2629247,8.54,7.118904,13.2989,2.7642,4.04,6.0,18190130.0,0.34263125,3.59102,7.9,0.0,2013.0,3.0,7.4666667,10.0,7.460061,-131.05603,-38.07758,8.980957,13.196985,-87.43495,-22.488232,1528.9176,8.3601885,14.997671,18.128796,8.360189,7.06,6.317906,13.547167,2.9075,4.05,6.0,28702656.0,0.53299457,3.410764,7.7,0.0,2013.0,4.0,-4.7433333,8.7,-8.635409,-24.056782,-86.63486,-1.7961428,4.3504553,-89.99322,-61.00989,710.35876,11.735101,15.325852,16.966599,11.7351,2.7566667,5.4141583,12.0325,2.274,4.08,6.0,22994344.0,0.43523628,3.457568,7.5,0.0,2014.0,1.0,5.0233335,8.9,-3.2019646,222.05508,76.89574,8.046476,3.1052759,-170.52791,-42.228718,449.67474,8.292734,16.989576,20.905598,8.292736,1.4833333,-1.067312,12.271433,2.2049334,4.08,6.0,15732516.0,0.32878008,2.518045,7.6,0.0,2014.0,2.0,13.01,7.9666667,12.372048,75.73436,140.90541,10.103935,3.3604708,-78.10485,-59.714344,-36.2294,2.2918918,12.298028,16.638468,2.291892,0.9533333,-0.052267253,11.8969,1.9678667,4.07,6.0,21158662.0,0.38913068,2.4709277,7.2,0.0,2014.0,3.0,8.65,7.6,34.248867,404.6622,139.56728,6.30392,-0.22721866,124.6765,-62.123764,-96.54374,-11.441908,7.696505,15.978094,-11.4417715,-1.6566666,5.4578238,11.710234,1.5153333,4.09,5.733333,25539418.0,0.554631,3.6467502,7.3,0.0,2014.0,4.0,9.836667,6.266667,77.989006,-71.96104,1272.5491,2.012427,-9.777393,13.699977,-62.960876,-88.155304,-22.457071,1.6004044,12.1014805,-22.45707,-17.603333,7.9591727,10.47935,1.1902333,4.05,5.516667,27062572.0,0.4996885,2.680761,7.1,0.0,2015.0,1.0,-2.88,6.266667,140.88135,11.718258,-10.44401,-4.8503003,-4.1615376,117.782166,-81.2218,-99.20727,-24.242895,-0.29890183,9.357893,-24.242895,-13.376667,12.575172,10.254867,1.3769333,4.04,5.1,15230938.0,0.30600175,2.5834079,7.1,0.0,2015.0,2.0,7.0,2,8,27
7.4666667,10.0,7.460061,-131.05603,-38.07758,8.980957,13.196985,-87.43495,-22.488232,1528.9176,8.3601885,14.997671,18.128796,8.360189,7.06,6.317906,13.547167,2.9075,4.05,6.0,28702656.0,0.53299457,3.410764,7.7,0.0,2013.0,4.0,-4.7433333,8.7,-8.635409,-24.056782,-86.63486,-1.7961428,4.3504553,-89.99322,-61.00989,710.35876,11.735101,15.325852,16.966599,11.7351,2.7566667,5.4141583,12.0325,2.274,4.08,6.0,22994344.0,0.43523628,3.457568,7.5,0.0,2014.0,1.0,5.0233335,8.9,-3.2019646,222.05508,76.89574,8.046476,3.1052759,-170.52791,-42.228718,449.67474,8.292734,16.989576,20.905598,8.292736,1.4833333,-1.067312,12.271433,2.2049334,4.08,6.0,15732516.0,0.32878008,2.518045,7.6,0.0,2014.0,2.0,13.01,7.9666667,12.372048,75.73436,140.90541,10.103935,3.3604708,-78.10485,-59.714344,-36.2294,2.2918918,12.298028,16.638468,2.291892,0.9533333,-0.052267253,11.8969,1.9678667,4.07,6.0,21158662.0,0.38913068,2.4709277,7.2,0.0,2014.0,3.0,8.65,7.6,34.248867,404.6622,139.56728,6.30392,-0.22721866,124.6765,-62.123764,-96.54374,-11.441908,7.696505,15.978094,-11.4417715,-1.6566666,5.4578238,11.710234,1.5153333,4.09,5.733333,25539418.0,0.554631,3.6467502,7.3,0.0,2014.0,4.0,9.836667,6.266667,77.989006,-71.96104,1272.5491,2.012427,-9.777393,13.699977,-62.960876,-88.155304,-22.457071,1.6004044,12.1014805,-22.45707,-17.603333,7.9591727,10.47935,1.1902333,4.05,5.516667,27062572.0,0.4996885,2.680761,7.1,0.0,2015.0,1.0,-2.88,6.266667,140.88135,11.718258,-10.44401,-4.8503003,-4.1615376,117.782166,-81.2218,-99.20727,-24.242895,-0.29890183,9.357893,-24.242895,-13.376667,12.575172,10.254867,1.3769333,4.04,5.1,15230938.0,0.30600175,2.5834079,7.1,0.0,2015.0,2.0,-6.363333,5.9333334,59.314655,-149.15324,-14.9533415,-9.440161,-8.777693,-114.64288,-82.96108,-69.0701,-13.050146,-3.0011685,0.8216942,-13.050148,-14.233334,10.934433,10.734867,1.7327666,4.05,4.6833334,16873886.0,0.33395725,2.5240145,7.0,0.0,2015.0,3.0,6.9,3,8,27
-4.7433333,8.7,-8.635409,-24.056782,-86.63486,-1.7961428,4.3504553,-89.99322,-61.00989,710.35876,11.735101,15.325852,16.966599,11.7351,2.7566667,5.4141583,12.0325,2.274,4.08,6.0,22994344.0,0.43523628,3.457568,7.5,0.0,2014.0,1.0,5.0233335,8.9,-3.2019646,222.05508,76.89574,8.046476,3.1052759,-170.52791,-42.228718,449.67474,8.292734,16.989576,20.905598,8.292736,1.4833333,-1.067312,12.271433,2.2049334,4.08,6.0,15732516.0,0.32878008,2.518045,7.6,0.0,2014.0,2.0,13.01,7.9666667,12.372048,75.73436,140.90541,10.103935,3.3604708,-78.10485,-59.714344,-36.2294,2.2918918,12.298028,16.638468,2.291892,0.9533333,-0.052267253,11.8969,1.9678667,4.07,6.0,21158662.0,0.38913068,2.4709277,7.2,0.0,2014.0,3.0,8.65,7.6,34.248867,404.6622,139.56728,6.30392,-0.22721866,124.6765,-62.123764,-96.54374,-11.441908,7.696505,15.978094,-11.4417715,-1.6566666,5.4578238,11.710234,1.5153333,4.09,5.733333,25539418.0,0.554631,3.6467502,7.3,0.0,2014.0,4.0,9.836667,6.266667,77.989006,-71.96104,1272.5491,2.012427,-9.777393,13.699977,-62.960876,-88.155304,-22.457071,1.6004044,12.1014805,-22.45707,-17.603333,7.9591727,10.47935,1.1902333,4.05,5.516667,27062572.0,0.4996885,2.680761,7.1,0.0,2015.0,1.0,-2.88,6.266667,140.88135,11.718258,-10.44401,-4.8503003,-4.1615376,117.782166,-81.2218,-99.20727,-24.242895,-0.29890183,9.357893,-24.242895,-13.376667,12.575172,10.254867,1.3769333,4.04,5.1,15230938.0,0.30600175,2.5834079,7.1,0.0,2015.0,2.0,-6.363333,5.9333334,59.314655,-149.15324,-14.9533415,-9.440161,-8.777693,-114.64288,-82.96108,-69.0701,-13.050146,-3.0011685,0.8216942,-13.050148,-14.233334,10.934433,10.734867,1.7327666,4.05,4.6833334,16873886.0,0.33395725,2.5240145,7.0,0.0,2015.0,3.0,-5.34,5.9,33.359943,22.824102,9.013168,-4.537077,-6.1316366,-84.66611,-69.56633,111.298874,5.4996333,-4.0205293,-7.1661096,5.4994717,-11.886666,5.065754,11.098534,1.451,4.05,4.35,25128212.0,0.48060372,3.4989157,6.9,0.0,2015.0,4.0,6.9,4,8,27
5.0233335,8.9,-3.2019646,222.05508,76.89574,8.046476,3.1052759,-170.52791,-42.228718,449.67474,8.292734,16.989576,20.905598,8.292736,1.4833333,-1.067312,12.271433,2.2049334,4.08,6.0,15732516.0,0.32878008,2.518045,7.6,0.0,2014.0,2.0,13.01,7.9666667,12.372048,75.73436,140.90541,10.103935,3.3604708,-78.10485,-59.714344,-36.2294,2.2918918,12.298028,16.638468,2.291892,0.9533333,-0.052267253,11.8969,1.9678667,4.07,6.0,21158662.0,0.38913068,2.4709277,7.2,0.0,2014.0,3.0,8.65,7.6,34.248867,404.6622,139.56728,6.30392,-0.22721866,124.6765,-62.123764,-96.54374,-11.441908,7.696505,15.978094,-11.4417715,-1.6566666,5.4578238,11.710234,1.5153333,4.09,5.733333,25539418.0,0.554631,3.6467502,7.3,0.0,2014.0,4.0,9.836667,6.266667,77.989006,-71.96104,1272.5491,2.012427,-9.777393,13.699977,-62.960876,-88.155304,-22.457071,1.6004044,12.1014805,-22.45707,-17.603333,7.9591727,10.47935,1.1902333,4.05,5.516667,27062572.0,0.4996885,2.680761,7.1,0.0,2015.0,1.0,-2.88,6.266667,140.88135,11.718258,-10.44401,-4.8503003,-4.1615376,117.782166,-81.2218,-99.20727,-24.242895,-0.29890183,9.357893,-24.242895,-13.376667,12.575172,10.254867,1.3769333,4.04,5.1,15230938.0,0.30600175,2.5834079,7.1,0.0,2015.0,2.0,-6.363333,5.9333334,59.314655,-149.15324,-14.9533415,-9.440161,-8.777693,-114.64288,-82.96108,-69.0701,-13.050146,-3.0011685,0.8216942,-13.050148,-14.233334,10.934433,10.734867,1.7327666,4.05,4.6833334,16873886.0,0.33395725,2.5240145,7.0,0.0,2015.0,3.0,-5.34,5.9,33.359943,22.824102,9.013168,-4.537077,-6.1316366,-84.66611,-69.56633,111.298874,5.4996333,-4.0205293,-7.1661096,5.4994717,-11.886666,5.065754,11.098534,1.451,4.05,4.35,25128212.0,0.48060372,3.4989157,6.9,0.0,2015.0,4.0,-11.893333,5.8575535,-14.984891,-55.582558,-39.459995,-12.175399,-8.32372,-162.82729,-24.128252,413.435,22.61437,-1.2680657,-8.479029,22.61437,-13.943334,-0.16702811,10.35,2.133797,4.04,4.35,20778134.0,0.47480282,3.1886177,6.9,0.0,2016.0,1.0,6.8,5,8,27
13.01,7.9666667,12.372048,75.73436,140.90541,10.103935,3.3604708,-78.10485,-59.714344,-36.2294,2.2918918,12.298028,16.638468,2.291892,0.9533333,-0.052267253,11.8969,1.9678667,4.07,6.0,21158662.0,0.38913068,2.4709277,7.2,0.0,2014.0,3.0,8.65,7.6,34.248867,404.6622,139.56728,6.30392,-0.22721866,124.6765,-62.123764,-96.54374,-11.441908,7.696505,15.978094,-11.4417715,-1.6566666,5.4578238,11.710234,1.5153333,4.09,5.733333,25539418.0,0.554631,3.6467502,7.3,0.0,2014.0,4.0,9.836667,6.266667,77.989006,-71.96104,1272.5491,2.012427,-9.777393,13.699977,-62.960876,-88.155304,-22.457071,1.6004044,12.1014805,-22.45707,-17.603333,7.9591727,10.47935,1.1902333,4.05,5.516667,27062572.0,0.4996885,2.680761,7.1,0.0,2015.0,1.0,-2.88,6.266667,140.88135,11.718258,-10.44401,-4.8503003,-4.1615376,117.782166,-81.2218,-99.20727,-24.242895,-0.29890183,9.357893,-24.242895,-13.376667,12.575172,10.254867,1.3769333,4.04,5.1,15230938.0,0.30600175,2.5834079,7.1,0.0,2015.0,2.0,-6.363333,5.9333334,59.314655,-149.15324,-14.9533415,-9.440161,-8.777693,-114.64288,-82.96108,-69.0701,-13.050146,-3.0011685,0.8216942,-13.050148,-14.233334,10.934433,10.734867,1.7327666,4.05,4.6833334,16873886.0,0.33395725,2.5240145,7.0,0.0,2015.0,3.0,-5.34,5.9,33.359943,22.824102,9.013168,-4.537077,-6.1316366,-84.66611,-69.56633,111.298874,5.4996333,-4.0205293,-7.1661096,5.4994717,-11.886666,5.065754,11.098534,1.451,4.05,4.35,25128212.0,0.48060372,3.4989157,6.9,0.0,2015.0,4.0,-11.893333,5.8575535,-14.984891,-55.582558,-39.459995,-12.175399,-8.32372,-162.82729,-24.128252,413.435,22.61437,-1.2680657,-8.479029,22.61437,-13.943334,-0.16702811,10.35,2.133797,4.04,4.35,20778134.0,0.47480282,3.1886177,6.9,0.0,2016.0,1.0,-6.3333335,6.0666666,-33.66983,-62.816956,-12.576254,-6.6001782,-5.9125705,-128.70059,-62.54208,667.5102,38.787193,-0.32926178,-11.2579775,38.787193,-6.923333,-3.741084,10.233334,2.0821223,4.05,4.35,15479207.0,0.34497735,2.466071,6.8,0.0,2016.0,2.0,6.8,6,8,27
8.65,7.6,34.248867,404.6622,139.56728,6.30392,-0.22721866,124.6765,-62.123764,-96.54374,-11.441908,7.696505,15.978094,-11.4417715,-1.6566666,5.4578238,11.710234,1.5153333,4.09,5.733333,25539418.0,0.554631,3.6467502,7.3,0.0,2014.0,4.0,9.836667,6.266667,77.989006,-71.96104,1272.5491,2.012427,-9.777393,13.699977,-62.960876,-88.155304,-22.457071,1.6004044,12.1014805,-22.45707,-17.603333,7.9591727,10.47935,1.1902333,4.05,5.516667,27062572.0,0.4996885,2.680761,7.1,0.0,2015.0,1.0,-2.88,6.266667,140.88135,11.718258,-10.44401,-4.8503003,-4.1615376,117.782166,-81.2218,-99.20727,-24.242895,-0.29890183,9.357893,-24.242895,-13.376667,12.575172,10.254867,1.3769333,4.04,5.1,15230938.0,0.30600175,2.5834079,7.1,0.0,2015.0,2.0,-6.363333,5.9333334,59.314655,-149.15324,-14.9533415,-9.440161,-8.777693,-114.64288,-82.96108,-69.0701,-13.050146,-3.0011685,0.8216942,-13.050148,-14.233334,10.934433,10.734867,1.7327666,4.05,4.6833334,16873886.0,0.33395725,2.5240145,7.0,0.0,2015.0,3.0,-5.34,5.9,33.359943,22.824102,9.013168,-4.537077,-6.1316366,-84.66611,-69.56633,111.298874,5.4996333,-4.0205293,-7.1661096,5.4994717,-11.886666,5.065754,11.098534,1.451,4.05,4.35,25128212.0,0.48060372,3.4989157,6.9,0.0,2015.0,4.0,-11.893333,5.8575535,-14.984891,-55.582558,-39.459995,-12.175399,-8.32372,-162.82729,-24.128252,413.435,22.61437,-1.2680657,-8.479029,22.61437,-13.943334,-0.16702811,10.35,2.133797,4.04,4.35,20778134.0,0.47480282,3.1886177,6.9,0.0,2016.0,1.0,-6.3333335,6.0666666,-33.66983,-62.816956,-12.576254,-6.6001782,-5.9125705,-128.70059,-62.54208,667.5102,38.787193,-0.32926178,-11.2579775,38.787193,-6.923333,-3.741084,10.233334,2.0821223,4.05,4.35,15479207.0,0.34497735,2.466071,6.8,0.0,2016.0,2.0,-6.8966665,6.133333,-6.9772053,85.294586,7.854134,-0.70247036,-1.6610323,-1123.0828,-55.58011,189.0787,29.03214,5.1326075,-2.7087047,29.033115,-4.1566668,-7.0279098,10.5,1.6750374,4.04,4.35,17891152.0,0.37852502,3.5674229,6.8,0.0,2016.0,3.0,6.9,7,8,27
9.836667,6.266667,77.989006,-71.96104,1272.5491,2.012427,-9.777393,13.699977,-62.960876,-88.155304,-22.457071,1.6004044,12.1014805,-22.45707,-17.603333,7.9591727,10.47935,1.1902333,4.05,5.516667,27062572.0,0.4996885,2.680761,7.1,0.0,2015.0,1.0,-2.88,6.266667,140.88135,11.718258,-10.44401,-4.8503003,-4.1615376,117.782166,-81.2218,-99.20727,-24.242895,-0.29890183,9.357893,-24.242895,-13.376667,12.575172,10.254867,1.3769333,4.04,5.1,15230938.0,0.30600175,2.5834079,7.1,0.0,2015.0,2.0,-6.363333,5.9333334,59.314655,-149.15324,-14.9533415,-9.440161,-8.777693,-114.64288,-82.96108,-69.0701,-13.050146,-3.0011685,0.8216942,-13.050148,-14.233334,10.934433,10.734867,1.7327666,4.05,4.6833334,16873886.0,0.33395725,2.5240145,7.0,0.0,2015.0,3.0,-5.34,5.9,33.359943,22.824102,9.013168,-4.537077,-6.1316366,-84.66611,-69.56633,111.298874,5.4996333,-4.0205293,-7.1661096,5.4994717,-11.886666,5.065754,11.098534,1.451,4.05,4.35,25128212.0,0.48060372,3.4989157,6.9,0.0,2015.0,4.0,-11.893333,5.8575535,-14.984891,-55.582558,-39.459995,-12.175399,-8.32372,-162.82729,-24.128252,413.435,22.61437,-1.2680657,-8.479029,22.61437,-13.943334,-0.16702811,10.35,2.133797,4.04,4.35,20778134.0,0.47480282,3.1886177,6.9,0.0,2016.0,1.0,-6.3333335,6.0666666,-33.66983,-62.816956,-12.576254,-6.6001782,-5.9125705,-128.70059,-62.54208,667.5102,38.787193,-0.32926178,-11.2579775,38.787193,-6.923333,-3.741084,10.233334,2.0821223,4.05,4.35,15479207.0,0.34497735,2.466071,6.8,0.0,2016.0,2.0,-6.8966665,6.133333,-6.9772053,85.294586,7.854134,-0.70247036,-1.6610323,-1123.0828,-55.58011,189.0787,29.03214,5.1326075,-2.7087047,29.033115,-4.1566668,-7.0279098,10.5,1.6750374,4.04,4.35,17891152.0,0.37852502,3.5674229,6.8,0.0,2016.0,3.0,-5.2733335,6.1,-6.7747126,-253.44827,-82.36862,-6.1277204,4.2916455,-116.02708,-31.032272,42.848602,16.835852,5.715119,1.5393066,16.835852,2.4866667,-6.444763,10.566667,2.1415834,4.02,4.35,25858446.0,0.50249416,3.2024336,6.9,0.0,2016.0,4.0,7.0,8,8,27
-2.88,6.266667,140.88135,11.718258,-10.44401,-4.8503003,-4.1615376,117.782166,-81.2218,-99.20727,-24.242895,-0.29890183,9.357893,-24.242895,-13.376667,12.575172,10.254867,1.3769333,4.04,5.1,15230938.0,0.30600175,2.5834079,7.1,0.0,2015.0,2.0,-6.363333,5.9333334,59.314655,-149.15324,-14.9533415,-9.440161,-8.777693,-114.64288,-82.96108,-69.0701,-13.050146,-3.0011685,0.8216942,-13.050148,-14.233334,10.934433,10.734867,1.7327666,4.05,4.6833334,16873886.0,0.33395725,2.5240145,7.0,0.0,2015.0,3.0,-5.34,5.9,33.359943,22.824102,9.013168,-4.537077,-6.1316366,-84.66611,-69.56633,111.298874,5.4996333,-4.0205293,-7.1661096,5.4994717,-11.886666,5.065754,11.098534,1.451,4.05,4.35,25128212.0,0.48060372,3.4989157,6.9,0.0,2015.0,4.0,-11.893333,5.8575535,-14.984891,-55.582558,-39.459995,-12.175399,-8.32372,-162.82729,-24.128252,413.435,22.61437,-1.2680657,-8.479029,22.61437,-13.943334,-0.16702811,10.35,2.133797,4.04,4.35,20778134.0,0.47480282,3.1886177,6.9,0.0,2016.0,1.0,-6.3333335,6.0666666,-33.66983,-62.816956,-12.576254,-6.6001782,-5.9125705,-128.70059,-62.54208,667.5102,38.787193,-0.32926178,-11.2579775,38.787193,-6.923333,-3.741084,10.233334,2.0821223,4.05,4.35,15479207.0,0.34497735,2.466071,6.8,0.0,2016.0,2.0,-6.8966665,6.133333,-6.9772053,85.294586,7.854134,-0.70247036,-1.6610323,-1123.0828,-55.58011,189.0787,29.03214,5.1326075,-2.7087047,29.033115,-4.1566668,-7.0279098,10.5,1.6750374,4.04,4.35,17891152.0,0.37852502,3.5674229,6.8,0.0,2016.0,3.0,-5.2733335,6.1,-6.7747126,-253.44827,-82.36862,-6.1277204,4.2916455,-116.02708,-31.032272,42.848602,16.835852,5.715119,1.5393066,16.835852,2.4866667,-6.444763,10.566667,2.1415834,4.02,4.35,25858446.0,0.50249416,3.2024336,6.9,0.0,2016.0,4.0,6.5466666,6.953277,20.878859,-447.3573,-54.03859,12.433651,18.63032,-13.171066,-57.14255,-29.998814,5.1000013,5.4195786,5.548853,5.100001,25.296667,-5.0724545,10.2,1.4163517,3.97,4.35,32122132.0,0.58719695,3.0725896,7.0,0.0,2017.0,1.0,7.0,9,8,27
