feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,target_GDP,target_country_code,target_year,target_quarter,sample_id
0.79790324,0.68483776,0.2734859,0.3833218,0.6880738,0.74097455,0.7580155,0.4860938,0.0011432222,0.0064313305,0.43538532,0.6952169,0.71717757,0.43503872,0.7014185,0.59056044,0.5117711,0.1545626,0.074792236,0.25311205,0.15963206,0.05204891,0.022591967,0.0,2013.0,1.0,7.9,0.0,2013.0,1.0,0
0.5861181,0.66831857,0.23560293,0.38130388,0.68474114,0.6227095,0.72101426,0.48602262,0.001237038,0.030461702,0.43648726,0.7184445,0.71919906,0.43614072,0.63930094,0.6210097,0.5161383,0.15219899,0.074792236,0.25311205,0.12669414,0.03989348,0.020710284,0.0,2013.0,2.0,7.6,0.0,2013.0,2.0,1
0.58310765,0.7025369,0.28000614,0.3767911,0.6833565,0.6047758,0.7770694,0.4857781,0.0010528712,0.029973308,0.434627,0.7787701,0.8220965,0.43428037,0.6872798,0.64520824,0.518493,0.16830498,0.07229916,0.25311205,0.13003676,0.04159,0.028905038,0.0,2013.0,3.0,7.9,0.0,2013.0,3.0,2
0.63395137,0.698997,0.2873172,0.3736141,0.68425405,0.66530603,0.77210367,0.48543897,0.00084951054,0.12938307,0.4355205,0.8500167,0.87938946,0.43517393,0.66669756,0.6335324,0.52045906,0.17437863,0.07271467,0.25311205,0.2051882,0.06469709,0.02745411,0.0,2013.0,4.0,7.7,0.0,2013.0,4.0,3
0.45891327,0.6529794,0.20134167,0.37846735,0.68197876,0.50129414,0.63607377,0.4854209,0.00042732232,0.06433503,0.43695834,0.8586362,0.85729694,0.43661183,0.60685146,0.6203588,0.50846404,0.14752825,0.073961206,0.25311205,0.1643809,0.05283078,0.027830847,0.0,2014.0,1.0,7.5,0.0,2014.0,1.0,4
0.59892464,0.660059,0.23036495,0.3896305,0.6896414,0.6510846,0.6169271,0.4848529,0.00063315954,0.04361938,0.43549177,0.9023329,0.9321745,0.43514517,0.58914334,0.52588093,0.5103562,0.1446009,0.073961206,0.25311205,0.11246788,0.03990869,0.020268388,0.0,2014.0,2.0,7.6,0.0,2014.0,2.0,5
0.71341854,0.62702066,0.31355506,0.3829937,0.6926408,0.6823962,0.6208511,0.48550478,0.0004415212,0.005006261,0.4329352,0.7791122,0.8510594,0.43258846,0.5817727,0.54067683,0.50739014,0.13455302,0.073545694,0.25311205,0.15125805,0.047234293,0.019889127,0.0,2014.0,3.0,7.2,0.0,2014.0,3.0,6
0.6509152,0.61404127,0.4304122,0.3979132,0.6925781,0.6245654,0.5656845,0.48693505,0.0004151145,0.00021328902,0.42708418,0.65825605,0.83850616,0.4267371,0.5454756,0.62099534,0.5059119,0.11537276,0.074376725,0.24204703,0.182575,0.0673234,0.029353622,0.0,2014.0,4.0,7.3,0.0,2014.0,4.0,7
0.6679268,0.5668436,0.66405445,0.37629452,0.7456672,0.55925506,0.41883487,0.4861523,0.00040593997,0.0008798889,0.42239136,0.4981457,0.7648145,0.42204392,0.32370666,0.6574565,0.4961642,0.10159366,0.07271467,0.23305671,0.19346365,0.06065426,0.02157813,0.0,2015.0,1.0,7.1,0.0,2015.0,1.0,8
0.48562533,0.5668436,1.0,0.38009006,0.6855489,0.45481426,0.50518787,0.4868864,0.00020580461,1.6279297e-06,0.42163053,0.4482616,0.7126609,0.42128304,0.38248655,0.7247422,0.49438646,0.109506786,0.07229916,0.21576764,0.10888222,0.03714376,0.020794509,0.0,2015.0,2.0,7.1,0.0,2015.0,2.0,9
0.43568954,0.55504423,0.5643036,0.37279326,0.6853376,0.38496318,0.4342069,0.48524708,0.00018674247,0.0023965242,0.42639902,0.3772882,0.5503939,0.42605183,0.37057295,0.70082575,0.49818772,0.1245885,0.07271467,0.19847856,0.12062725,0.04053711,0.020316437,0.0,2015.0,3.0,7.0,0.0,2015.0,3.0,10
0.45035964,0.5538643,0.42566395,0.38059378,0.6864606,0.45958105,0.47489437,0.4854585,0.00033354576,0.016729822,0.43430182,0.3505153,0.39855143,0.43395507,0.40320787,0.6152803,0.5010677,0.11264604,0.07271467,0.1846473,0.17963539,0.05833767,0.028163666,0.0,2015.0,4.0,6.9,0.0,2015.0,4.0,11
0.35641345,0.5523618,0.1674253,0.3770374,0.68418926,0.3433368,0.4411875,0.4849072,0.0008315363,0.040739533,0.44159326,0.4228071,0.3735938,0.44124708,0.37460598,0.539004,0.49513984,0.14158584,0.07229916,0.1846473,0.14853776,0.05763353,0.025665998,0.0,2016.0,1.0,6.9,0.0,2016.0,1.0,12
0.4361196,0.559764,0.067617886,0.37670928,0.68544894,0.42818362,0.47826287,0.48514792,0.00041052987,0.06093001,0.4484834,0.4474642,0.32076797,0.44813767,0.47223252,0.48690638,0.49421594,0.13939565,0.07271467,0.1846473,0.11065704,0.041874778,0.019850034,0.0,2016.0,2.0,6.8,0.0,2016.0,2.0,13
0.42804384,0.5621239,0.21019913,0.38342732,0.6864063,0.51793826,0.5436373,0.47813433,0.00048683144,0.022910716,0.44432744,0.5909169,0.48328352,0.44398183,0.51070833,0.43899557,0.49632773,0.12214169,0.07229916,0.1846473,0.12789944,0.045946933,0.028715096,0.0,2016.0,3.0,6.8,0.0,2016.0,3.0,14
0.45131537,0.56094396,0.21128076,0.36806265,0.6821787,0.43537375,0.63516945,0.4852373,0.0007558699,0.011290316,0.43913144,0.60621613,0.5640352,0.43878508,0.6030966,0.44749588,0.4968557,0.14191586,0.07146814,0.1846473,0.18485565,0.060994823,0.025777206,0.0,2016.0,4.0,6.9,0.0,2016.0,4.0,15
0.6207626,0.59114844,0.35899502,0.35926732,0.68350613,0.7178511,0.8556501,0.48596278,0.00046970745,0.005501384,0.43413156,0.598454,0.6402538,0.43378487,0.92031336,0.4674995,0.49395195,0.111177504,0.06939057,0.1846473,0.2296332,0.0712764,0.024732059,0.0,2017.0,1.0,7.0,0.0,2017.0,1.0,16
0.64412963,0.5880826,0.33400565,0.3765248,0.6856183,0.7027091,0.77860564,0.48705348,0.0011928015,0.00365871,0.43107238,0.6098083,0.711902,0.4307255,0.764695,0.4810759,0.4987035,0.11048445,0.06855955,0.1846473,0.17460804,0.05417755,0.019687263,0.0,2017.0,2.0,7.0,0.0,2017.0,2.0,17
0.61832553,0.56920356,0.3681054,0.399446,0.68416035,0.635807,0.7664913,0.48681948,0.0029376496,0.0019534351,0.42932945,0.5909535,0.72588676,0.42898214,0.7745689,0.52968687,0.49447992,0.11896129,0.06855955,0.1846473,0.21482396,0.06661489,0.020617843,0.0,2017.0,3.0,6.9,0.0,2017.0,3.0,18
