feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,target_0,target_1,target_2,sample_id
1.1869171,-0.42910904,-0.5525816,0.5875401,1.085996,1.6350383,-0.71184844,-0.3616311,-0.25906682,-0.29915258,-0.02278093,0.13883057,-0.13837066,0.50196165,-0.7277306,-0.4775153,0.0,-1.5117936,2.6061985,0.0,-1.5117936,0
-0.54995877,-0.11931006,-0.02226248,-0.5001356,0.26098374,0.2557338,1.4470603,0.75654966,0.41479594,0.040934633,1.2040753,0.7028507,0.5623891,2.354106,-0.29691783,-0.2365113,1.0,-1.5117936,3.0048227,1.0,-1.5117936,1
1.0243204,-0.8784943,-0.65472656,-0.3051071,0.13410328,0.5601964,-0.17565934,-0.1025367,-0.2028083,0.05832546,-0.516735,-0.13837719,0.1818418,-0.63273203,-0.36569554,-0.5081369,2.0,-1.5117936,2.3258135,2.0,-1.5117936,2
1.2172697,-0.023837658,-0.9333093,3.362653,0.22691703,0.71107876,-0.69018745,1.8048518,0.025160225,-0.5204025,-0.8943626,-0.20190476,0.016325973,-0.5785101,0.21163146,-0.3048146,3.0,-1.5117936,1.7921441,3.0,-1.5117936,3
0.51516503,-0.15188643,-0.6438249,-0.7586105,-0.9352184,-0.70732456,-0.11410063,0.008730915,-0.6898275,-0.40349752,-0.3316386,-0.66576576,-0.83620924,-0.21310762,-0.53550524,-0.47083756,4.0,-1.5117936,0.4375913,4.0,-1.5117936,4
-0.8686788,-1.272638,-0.57487905,0.2973903,-1.3534234,-1.6786692,-0.55377835,-0.5323489,-2.2165103,4.635735,-0.36305562,-1.1435361,-2.296072,-0.61606383,0.080096975,-0.3246418,5.0,-1.5117936,-1.4033419,5.0,-1.5117936,5
-0.2668382,-0.13128662,-0.6749891,-0.40297902,-0.21130992,-0.31326863,-0.44667557,-0.039399434,-0.6119895,0.7273891,-0.5411048,-0.5715289,-0.7698388,-0.5263096,-0.16373703,-0.30771744,6.0,-1.5117936,0.57632667,6.0,-1.5117936,6
-0.3439418,-0.5441377,-0.49489877,-0.983943,-0.014432941,-0.06548562,-0.06971034,0.11502115,-0.07151907,0.15059344,-0.07448413,0.20760538,0.13960919,-0.12350828,-0.7456648,-0.37839857,7.0,-1.5117936,1.7923222,7.0,-1.5117936,7
0.1648494,1.6090064,-0.13413729,0.23121083,1.9846232,0.81287307,0.7323625,-0.14360838,1.6344583,-0.6196751,1.272111,0.54589134,1.4623032,-0.50591695,1.0528498,-0.18491696,8.0,-1.5117936,5.557264,8.0,-1.5117936,8
0.50154436,-0.99564236,-0.5753766,-0.95587933,0.7600371,0.72623575,-0.34264565,-0.99812824,-1.9692508,1.2674707,-0.4246816,-1.6551838,-2.0968485,0.9463546,-0.7991114,-0.60169804,9.0,-1.5117936,-1.8410654,9.0,-1.5117936,9
-0.5353759,-0.13010786,-0.90165406,-0.81930214,-1.3838964,-1.3820475,-0.7655072,0.10112787,0.08890964,-0.6916538,-0.71386415,0.37338758,0.1720937,1.9291488,-0.84968436,0.17373508,10.0,-1.5117936,2.0051003,10.0,-1.5117936,10
1.0344703,0.9611844,-0.55330306,0.122691736,-0.82928765,-0.41244763,-0.37898237,-0.18516964,0.13460182,-1.0034809,-0.39809698,0.12390956,-0.21877702,-0.43578807,-0.5424812,0.2848267,11.0,-1.5117936,3.1647086,11.0,-1.5117936,11
0.2791571,-0.3529465,-0.36826643,-0.22739471,0.8949319,0.9816346,-0.18603535,0.1873928,0.08963862,-0.4783747,0.42049184,-1.179458,0.15867291,-0.5187877,-0.9741902,-0.20777097,12.0,-1.5117936,0.85210156,12.0,-1.5117936,12
-3.9309254,-0.6116056,-0.5624695,-0.29729387,-0.0461038,-0.6718708,-0.3053769,-0.07380851,-1.2649784,0.08247938,-0.0041514495,-0.7236901,-1.4319165,-0.6508747,1.8569808,0.018936727,13.0,-1.5117936,-0.13017529,13.0,-1.5117936,13
0.5383214,0.19019136,-0.49254927,0.51325476,-1.654628,-1.2463307,-0.60389477,-0.15395005,-0.7506138,0.8271448,-0.49919012,-0.36865598,-1.0293673,-0.5289182,0.09761972,-0.14809145,14.0,-1.5117936,0.8565571,14.0,-1.5117936,14
0.27204207,-0.6002898,0.08073412,0.35476902,-0.90316296,-0.8042853,0.8320678,0.17039934,0.7693849,-0.34866813,1.3836062,-0.04868633,1.286129,-0.65940225,-0.9174413,-0.4400279,15.0,-1.5117936,1.7554221,15.0,-1.5117936,15
1.0378542,3.049726,-0.32519025,-1.0171247,1.801949,2.283017,-1.0026493,0.19212836,2.1944418,-0.31436956,0.33099893,0.6817783,0.7619408,-0.6798105,3.1500697,4.1207376,16.0,-1.5117936,2.850343,16.0,-1.5117936,16
-0.2796774,2.0354211,0.21646732,0.4708642,1.368738,0.928672,1.1023333,1.5524737,2.5492237,0.67908126,1.625218,2.319957,2.3875616,-0.5509656,-0.39989907,-0.4059489,17.0,-1.5117936,8.485817,17.0,-1.5117936,17
0.10265291,-1.2532822,-0.59195024,-0.13079496,-0.11667324,-0.02809237,-0.17278434,-0.26510018,-0.49285644,0.11436255,-0.34467393,0.36684245,-0.21523473,-0.30410254,-0.28152502,0.25419623,18.0,-1.5117936,1.8418754,18.0,-1.5117936,18
0.9912815,-0.07303244,-0.43083593,0.82787055,0.7868855,1.2637137,-0.27021146,-1.037404,-0.0013933546,-0.1989138,-0.010352299,-0.77968234,0.02718275,0.48005438,-0.70941776,-0.48355252,0.0,-1.0140079,2.6074011,0.0,-1.0140079,19
-0.57268965,-0.34941122,0.32101116,-1.5642858,0.24126208,0.23873307,1.5433862,-0.9175756,-0.10054514,-0.035391755,1.2448341,-1.2283481,0.008463093,2.5469277,-0.24627486,-0.20498133,1.0,-1.0140079,0.5039557,1.0,-1.0140079,20
